Telling	13 år	14 år	15 år	16 år	17 år	18 år	19 år
Bergen_2019	1545/1507	1567/1511	1562/1466	1537/1454	1506/1443	1600/1636	1695/1749
Bergen_2020	1554/1560	1544/1501	1576/1512	1581/1485	1544/1468	1522/1468	1669/1809
Bergen_2021	1578/1498	1558/1561	1543/1500	1580/1515	1583/1494	1548/1489	1596/1643
Oslo_2019	3294/3250	3253/3162	3276/3022	3020/3007	2982/2925	3123/3154	3332/3272
Oslo_2020	3365/3408	3291/3262	3249/3180	3301/3107	3060/3030	3043/2998	3294/3458
Oslo_2021	3614/3384	3348/3417	3299/3261	3286/3226	3291/3134	3091/3081	3182/3381
Tromsø_2019	466/405	433/398	404/418	410/431	445/413	457/426	510/468
Tromsø_2020	485/452	458/405	433/391	400/412	410/434	446/421	483/453
Tromsø_2021	445/452	481/454	454/404	431/390	406/418	413/434	467/458
